unicode dec,unicode hex,character,name
8304,2070,⁰,zerosuperior
185,00B9,¹,onesuperior
178,00B2,²,twosuperior
179,00B3,³,threesuperior
8308,2074,⁴,foursuperior
8309,2075,⁵,fivesuperior
8310,2076,⁶,sixsuperior
8311,2077,⁷,sevensuperior
8312,2078,⁸,eightsuperior
8313,2079,⁹,ninesuperior
8320,2080,₀,zeroinferior
8321,2081,₁,oneinferior
8322,2082,₂,twoinferior
8323,2083,₃,threeinferior
8324,2084,₄,fourinferior
8325,2085,₅,fiveinferior
8326,2086,₆,sixinferior
8327,2087,₇,seveninferior
8328,2088,₈,eightinferior
8329,2089,₉,nineinferior
,,,zero.numerator
,,,one.numerator
,,,two.numerator
,,,three.numerator
,,,four.numerator
,,,five.numerator
,,,six.numerator
,,,seven.numerator
,,,eight.numerator
,,,nine.numerator
,,,zero.denominator
,,,one.denominator
,,,two.denominator
,,,three.denominator
,,,four.denominator
,,,five.denominator
,,,six.denominator
,,,seven.denominator
,,,eight.denominator
,,,nine.denominator
