unicode dec,unicode hex,character,name
1456,05B0,ְ◌,sheva:hb
1457,05B1,ֱ◌,hatafSegol:hb
1458,05B2,ֲ◌,hatafPatah:hb
1459,05B3,ֳ◌,hatafQamats:hb
1460,05B4,ִ◌,hiriq:hb
1461,05B5,ֵ◌,tsere:hb
1462,05B6,ֶ◌,segol:hb
1463,05B7,ַ◌,patah:hb
1464,05B8,ָ◌,qamats:hb
1465,05B9,ֹ◌,holam:hb
1466,05BA,ֺ◌,holamHaser:hb
1467,05BB,ֻ◌,qubuts:hb
1468,05BC,ּ◌,dagesh:hb
1470,05BE,־,maqaf:hb
1473,05C1,ׁ◌,shinDot:hb
1474,05C2,ׂ◌,sinDot:hb
1479,05C7,ׇ◌,qamatsQatan:hb
1488,05D0,א,alef:hb
1489,05D1,ב,bet:hb
1490,05D2,ג,gimel:hb
1491,05D3,ד,dalet:hb
1492,05D4,ה,he:hb
1493,05D5,ו,vav:hb
1494,05D6,ז,zayin:hb
1495,05D7,ח,het:hb
1496,05D8,ט,tet:hb
1497,05D9,י,yod:hb
1498,05DA,ך,finalkaf:hb
1499,05DB,כ,kaf:hb
1500,05DC,ל,lamed:hb
1501,05DD,ם,finalmem:hb
1502,05DE,מ,mem:hb
1503,05DF,ן,finalnun:hb
1504,05E0,נ,nun:hb
1505,05E1,ס,samekh:hb
1506,05E2,ע,ayin:hb
1507,05E3,ף,finalpe:hb
1508,05E4,פ,pe:hb
1509,05E5,ץ,finaltsadi:hb
1510,05E6,צ,tsadi:hb
1511,05E7,ק,qof:hb
1512,05E8,ר,resh:hb
1513,05E9,ש,shin:hb
1514,05EA,ת,tav:hb
1520,05F0,װ,vav_vav:hb
1521,05F1,ױ,vav_yod:hb
1522,05F2,ײ,yod_yod:hb
1523,05F3,׳,geresh:hb
1524,05F4,״,gershayim:hb
64285,FB1D,יִ,yodwithhiriq:hb
64287,FB1F,ײַ,yod_yod_patah:hb
64298,FB2A,שׁ,shinwithshinDot:hb
64299,FB2B,שׂ,shinwithsinDot:hb
64300,FB2C,שּׁ,shinwithdageshandshinDot:hb
64301,FB2D,שּׂ,shinwithdageshandsinDot:hb
64302,FB2E,אַ,alefwithpatah:hb
64303,FB2F,אָ,alefwithqamats:hb
64304,FB30,אּ,alefwithmapiq:hb
64305,FB31,בּ,betwithdagesh:hb
64306,FB32,גּ,gimelwithdagesh:hb
64307,FB33,דּ,daletwithdagesh:hb
64308,FB34,הּ,hewithmapiq:hb
64309,FB35,וּ,vavwithdagesh:hb
64310,FB36,זּ,zayinwithdagesh:hb
64312,FB38,טּ,tetwithdagesh:hb
64313,FB39,יּ,yodwithdagesh:hb
64314,FB3A,ךּ,finalkafwithdagesh:hb
64315,FB3B,כּ,kafwithdagesh:hb
64316,FB3C,לּ,lamedwithdagesh:hb
64318,FB3E,מּ,memwithdagesh:hb
64320,FB40,נּ,nunwithdagesh:hb
64321,FB41,סּ,samekhwithdagesh:hb
64323,FB43,ףּ,finalpewithdagesh:hb
64324,FB44,פּ,pewithdagesh:hb
64326,FB46,צּ,tsadiwithdagesh:hb
64327,FB47,קּ,qofwithdagesh:hb
64328,FB48,רּ,reshwithdagesh:hb
64329,FB49,שּ,shinwithdagesh:hb
64330,FB4A,תּ,tavwithdagesh:hb
64331,FB4B,וֹ,vavwithholam:hb
